DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,NO2,CO,PM10,PM25,SO2
06-12-2013,53,98.05,70.55,0.51,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
07-12-2013,27,87.14,75.71,0.53,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
08-12-2013,30,76.12,79.98,0.53,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
09-12-2013,22,81.25,76.65,0.55,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
10-12-2013,28,109.33,77.64,0.6,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
11-12-2013,31,120.95,70.24,0.67,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
12-12-2013,34,158.87,57.83,1.01,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
13-12-2013,76,134.78,62.34,0.89,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
14-12-2013,72,89.85,72.23,0.6,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
15-12-2013,106,42.22,77.72,0.8,NaN,,443960,385931,249922,0.719,NaN,NaN,NaN,NaN,NaN
